12,09,2022,09,33,31,0.000,60.105,0.000,23.573
12,09,2022,09,35,53,0.000,59.898,0.000,23.573
12,09,2022,09,35,54,0.000,59.754,0.000,23.573
12,09,2022,09,35,54,0.000,59.496,0.000,23.573
12,09,2022,09,35,55,0.000,59.869,0.000,23.575
12,09,2022,09,35,55,0.000,60.024,0.000,23.573
12,09,2022,09,37,19,0.000,59.810,0.000,23.573
12,09,2022,09,37,20,0.000,60.055,0.000,23.573
12,09,2022,09,41,56,0.000,59.858,0.000,23.575
12,09,2022,09,41,56,0.000,59.654,0.000,23.573
12,09,2022,09,41,57,0.000,59.523,0.000,23.577
12,09,2022,09,42,01,0.000,60.023,0.000,23.575
12,09,2022,09,43,51,0.000,59.906,0.000,23.573
12,09,2022,09,43,51,0.000,59.584,0.000,23.573
12,09,2022,09,43,52,0.000,59.474,0.000,23.573
12,09,2022,09,43,55,0.000,60.122,0.000,23.572
12,09,2022,09,43,56,0.000,60.017,0.000,23.573
12,09,2022,09,45,20,0.000,59.530,0.000,23.575
12,09,2022,09,45,26,0.000,59.682,0.000,23.573
12,09,2022,09,45,27,0.000,60.013,0.000,23.573
12,09,2022,09,48,30,0.000,60.116,0.000,23.566
12,09,2022,11,34,56,0.000,60.115,0.000,23.577,CCW
12,09,2022,11,37,40,46.039,60.171,55.709,23.717,CCW
12,09,2022,11,37,40,46.039,61.578,55.709,24.370,CCW
12,09,2022,11,37,41,46.039,63.230,55.709,25.028,CCW
12,09,2022,11,37,41,46.039,63.905,55.709,25.348,CCW
12,09,2022,11,37,42,46.039,66.115,55.709,26.314,CCW
12,09,2022,11,37,42,46.039,67.609,55.709,26.950,CCW
12,09,2022,11,37,43,46.039,69.603,55.709,27.596,CCW
12,09,2022,11,37,43,46.039,70.949,55.709,28.219,CCW
12,09,2022,11,37,44,46.039,72.601,55.709,28.858,CCW
12,09,2022,11,37,44,46.039,74.040,55.709,29.480,CCW
12,09,2022,11,37,45,46.039,74.713,55.709,29.791,CCW
12,09,2022,11,37,45,46.039,77.118,55.709,30.725,CCW
12,09,2022,11,37,46,46.039,78.370,55.709,31.340,CCW
12,09,2022,11,37,46,46.039,79.673,55.709,31.950,CCW
12,09,2022,11,37,47,46.039,81.040,55.709,32.565,CCW
12,09,2022,11,37,47,46.039,82.616,55.709,33.174,CCW
12,09,2022,11,37,48,46.039,84.099,55.709,33.784,CCW
12,09,2022,11,37,48,46.039,85.625,55.709,34.389,CCW
12,09,2022,11,37,49,46.039,87.136,55.709,34.988,CCW
12,09,2022,11,37,49,46.539,88.663,55.631,35.591,CCW
12,09,2022,11,37,50,46.539,90.142,55.631,36.187,CCW
12,09,2022,11,37,50,46.539,91.669,55.631,36.783,CCW
12,09,2022,11,37,51,46.539,93.179,55.631,37.371,CCW
12,09,2022,11,37,52,46.539,94.707,55.631,37.965,CCW
12,09,2022,11,37,52,46.539,96.267,55.631,38.549,CCW
12,09,2022,11,37,52,46.539,97.700,55.631,39.131,CCW
12,09,2022,11,37,53,46.539,99.222,55.631,39.722,CCW
12,09,2022,11,37,54,46.539,100.726,55.631,40.296,CCW
12,09,2022,11,37,55,46.539,103.787,55.631,41.448,CCW
12,09,2022,11,37,55,46.539,105.290,55.631,42.025,CCW
12,09,2022,11,37,56,46.539,106.834,55.631,42.596,CCW
12,09,2022,11,37,56,46.539,108.335,55.631,43.162,CCW
12,09,2022,11,37,57,46.539,109.103,55.631,43.449,CCW
12,09,2022,11,37,57,46.539,111.377,55.631,44.299,CCW
12,09,2022,11,37,58,46.539,112.887,55.631,44.865,CCW
12,09,2022,11,37,58,46.539,113.669,55.631,45.146,CCW
12,09,2022,11,37,59,46.539,115.163,55.631,45.705,CCW
12,09,2022,11,37,59,46.539,117.454,55.631,46.545,CCW
12,09,2022,11,38,00,47.039,118.196,55.552,46.826,CCW
12,09,2022,11,38,00,47.039,119.713,55.552,47.375,CCW
12,09,2022,11,38,01,47.039,122.018,55.552,48.210,CCW
12,09,2022,11,38,01,47.039,123.541,55.552,48.763,CCW
12,09,2022,11,38,02,47.039,125.045,55.552,49.236,CCW
12,09,2022,11,38,02,47.039,126.565,55.552,49.692,CCW
12,09,2022,11,38,03,47.039,128.116,55.552,50.076,CCW
12,09,2022,11,38,03,47.039,129.630,55.552,50.435,CCW
12,09,2022,11,38,04,47.039,131.159,55.552,50.774,CCW
12,09,2022,11,38,04,47.039,132.686,55.552,51.044,CCW
12,09,2022,11,38,05,47.039,134.231,55.552,51.318,CCW
12,09,2022,11,38,05,47.039,135.773,55.552,51.587,CCW
12,09,2022,11,38,06,47.039,137.284,55.552,51.779,CCW
12,09,2022,11,38,06,47.039,138.811,55.552,51.958,CCW
12,09,2022,11,38,07,47.039,140.331,55.552,52.137,CCW
12,09,2022,11,38,07,47.039,141.096,55.552,52.225,CCW
12,09,2022,11,38,08,47.039,141.718,55.552,52.587,CCW
12,09,2022,11,38,10,47.039,141.600,55.552,52.621,CCW
12,09,2022,11,38,46,47.539,142.711,55.473,52.672,CCW
12,09,2022,11,38,46,47.539,144.212,55.473,52.738,CCW
12,09,2022,11,38,47,47.539,145.755,55.473,52.803,CCW
12,09,2022,11,38,47,47.539,147.287,55.473,52.868,CCW
12,09,2022,11,38,48,47.539,148.830,55.473,52.935,CCW
12,09,2022,11,38,48,47.539,150.357,55.473,53.001,CCW
12,09,2022,11,38,49,47.539,151.856,55.473,53.070,CCW
12,09,2022,11,38,49,47.539,153.396,55.473,53.133,CCW
12,09,2022,11,38,50,47.539,154.159,55.473,53.166,CCW
12,09,2022,11,38,50,47.539,156.445,55.473,53.259,CCW
